rank,category,product_concept,pl_opportunity_score,demand_score,competition_score,subscription_score,trend_score,market_gap_score,tiktok_shop_fit,market_size,potential_customer_problems,concept_rationale,tiktok_angle
1,Teeth Whitening,Whitening + Sensitivity Relief Strips,81.5,27,100,100,37,53,VERY HIGH,~$1.8B US oral beauty market,Sensitivity pain during/after whitening treatments | Skepticism about whitening effectiveness and speed | Fear of enamel damage from peroxide,"Dual-action: 7% hydrogen peroxide on outer layer, hydroxyapatite on inner layer. Addresses the #1 consumer fear (sensitivity) while delivering results. Subscription model from day 1.","Before/after smile transformation videos, 'Sensitive Teeth Approved' UGC campaigns"
2,Dog Treats & Chews,3-in-1 Functional Dog Treat: Training + Dental + Gut Health,78.7,20,100,100,50,20,HIGH,~$9B US dog food/treat market,"Artificial preservatives and ingredients in mass-market treats | Need for multi-functional treats (training + dental + digestion) | Owners want treats that reinforce health outcomes, not just taste",Single treat format addressing three real problems. Soft training treat texture with dental enzyme coating and prebiotics. Premium positioning at $28–$35 price point. Subscription-first.,"Dog training TikToks, 'what I feed my dog for gut health' content, vet collab videos"
3,Teeth Whitening,90-Day Whitening Habit System,78.2,27,100,100,37,53,VERY HIGH,~$1.8B US oral beauty market,Sensitivity pain during/after whitening treatments | Skepticism about whitening effectiveness and speed | Fear of enamel damage from peroxide,3-month whitening kit with 3 progressively stronger strip intensities. Converts a one-time purchase into a subscription journey. Premium positioning vs generic 7-treatment strips.,"Before/after transformation arcs, 30/60/90 day progress content"
4,Yoga Mats,Hot Yoga Towel Set + Grip Spray (Anti-Slip System),78.0,75,100,30,15,53,HIGH,~$600M yoga equipment US,Mat slipping during hot yoga and sweat-heavy practice | Portability: heavy mats difficult to carry to studio | Alignment guides for beginners not built into mats,The MIAOMIAO yoga towel ranked #11 with CLEAN integrity and only 4 reviews earning $11K/mo. An anti-slip towel + grip-enhancing spray as a bundle directly solves hot yoga's #1 complaint.,"Hot yoga TikToks, 'no more mat slipping' content, studio class prep videos"
5,Resistance Bands,Women's Progressive Fabric Glute Training System,75.8,66,100,35,15,66,HIGH,~$1.1B home fitness equipment,"Bands snap or degrade quickly under repeated tension | Generic loop band sets with no progression system | Declining search trend (market maturing, feature parity)","Fabric bands that won't snap, color-coded by resistance, with a 12-week home glute program QR code inside. Premium $29 price vs commodity $17. Clear demographic: women 25–40.","Home workout TikToks, glute transformation content, 'what I use at home' vlogs"
6,Teeth Whitening,Coffee Lover's Daily Whitening Pen,75.0,27,100,100,37,53,VERY HIGH,~$1.8B US oral beauty market,Sensitivity pain during/after whitening treatments | Skepticism about whitening effectiveness and speed | Fear of enamel damage from peroxide,Single-SKU product solving a single known trigger. Coffee drinkers are the #1 whitening strip customer. A portable pen used after morning coffee is a daily ritual product with repeat purchase.,"Morning routine TikToks, 'coffee but make it clean teeth' aesthetic"
7,Dog Treats & Chews,High-Value Training Treats for Reactive Dogs,72.6,20,100,100,50,20,HIGH,~$9B US dog food/treat market,"Artificial preservatives and ingredients in mass-market treats | Need for multi-functional treats (training + dental + digestion) | Owners want treats that reinforce health outcomes, not just taste","Focused on dog owners with reactive/anxious dogs — an underserved, passionate segment. Freeze-dried single-ingredient (salmon or duck liver). Tiny pieces, high value for distraction training.","Reactive dog training transformation videos, 'reactivity tips' content community"
8,Cooking Utensils,The 5-Essential Kitchen Brand (Anti-33-Piece-Kit),72.4,37,100,20,50,81,HIGH,~$1.2B kitchen tools segment,Generic 33-piece sets with tools that never get used | Handle staining and dishwasher degradation over time | No brand story or identity in an anonymous market,The market is flooded with 33-piece sets at identical prices with suspicious reviews. A curated 5-piece 'the only tools you need' bundle at $34 with a brand story wins on trust + TikTok.,"Kitchen purge TikToks, 'cooking with less' minimalist chef aesthetic"
9,Candles & Holders,Aesthetic Tealight Holder Brand (Monthly Edit),71.9,20,100,65,50,32,HIGH,~$500M US home fragrance / candle accessories,Desire for aesthetic home decor that creates atmosphere | Gifting occasion without knowing recipient's scent preferences | Tealight holders that match modern interior design styles,The candle accessories market has 12/15 products under 1K reviews — extremely accessible. Build a visual brand around seasonal 12-piece holder collections. No competition with established candle brands.,"Home decor transformation TikToks, 'candle aesthetic' set-up videos"
10,Resistance Bands,Resistance Band + Mobility Recovery Kit,69.7,66,100,35,15,66,HIGH,~$1.1B home fitness equipment,"Bands snap or degrade quickly under repeated tension | Generic loop band sets with no progression system | Declining search trend (market maturing, feature parity)",Resistance training + post-workout recovery in one bundle. Add a foam roller and guided stretching guide. Solves the 'I work out but I don't recover' problem. Higher AOV.,"Recovery TikToks, 'post-workout routine' content, fitness creator collab"
11,Cooking Utensils,"TikTok Kitchen Aesthetic Set (Color-Matched, Content-Ready)",69.5,37,100,20,50,81,HIGH,~$1.2B kitchen tools segment,Generic 33-piece sets with tools that never get used | Handle staining and dishwasher degradation over time | No brand story or identity in an anonymous market,"Every tool designed to look good on camera: matte black, sage green, blush. Content creators buy matching sets for aesthetic consistency. Premium price $45–$65 vs commodity $14.","Food content TikToks, recipe videos where tools are props, creator collab"
12,Ice Cube Molds & Trays,Cocktail Aesthetic System (Sphere Ice + Flavor Infuser + Garnish Tray),69.3,20,100,25,60,62,HIGH,~$200M cocktail/entertaining accessories,"Diluted cocktails from regular ice melting too fast | Boring, identical ice shapes for entertaining | No complete 'cocktail aesthetic' product system",Three products solving the same cocktail presentation problem. Sphere ice is TikTok-native. Add an infuser and garnish tray and you own the 'at-home bartending aesthetic' niche.,"Cocktail making TikToks, 'satisfying ice sphere' content, cocktail hour aesthetic"
