rank,archetype,product_name,pl_score,problems_solved,usp,pain_cluster,product_description,tiktok_angle,intensity,frequency,solution_gap,addressable,brandability,target_customer
1,THE SELF-IMAGE PROFESSIONAL,The Morning Coffee Whitening Ritual,97.2,4,"Whiten between sips, not despite them.","""a system that keeps you there despite your daily coffee ritual"" + ""no longer 45 minutes to spare""","A 3-step system that fits inside the coffee routine, not against it: (1) enamel shield tablet dissolved in water, drunk before coffee — reduces tannin binding for 4 hours; (2) 5-minute dissolving whitening micro-strip, applied after the last cup (no ","""POV: you whiten your teeth while making your morning coffee"" — demo content",94,96,95,78,92,28–40 years old. Coffee drinker (2–4 cups/day). Notices staining in photos and video calls. Wants a 
2,THE INTENTIONAL DOG PARENT,3-Function Daily Chew: Dental + Gut + Training,95.2,4,One chew. Three problems solved. Every single day.,"""gobbles in 2 minutes"", ""bad conscience about teeth"", ""digestive upset from chews""","Soft daily chew, 10-second consumption rate (not gulpable), that delivers 3 documented health benefits: (1) dental enzyme (glucose oxidase) breaks plaque biofilm; (2) prebiotic chicory root (100mg/chew) supports gut microbiome; (3) omega-3 (EPA+DHA f","""I replaced 3 supplement bags with one chew — here's what happened after 90 days""",88,96,94,75,94,28–42 years old. Treats dog as family member. Anxious about ingredients. Follows dog training TikTok
3,THE SELF-IMAGE PROFESSIONAL,HydroGrip Sensitive Dissolve Strips,95.1,4,"The strip that stays on, doesn't hurt, and disappears.","""strips fall off"", ""gum irritation despite peroxide-free claims"", ""zings or nerve pain""",Flexible strips with clinical-grade adhesive that moulds to tooth curve (won't slide off lower teeth). Dual-layer: outer 6% hydrogen peroxide whitening layer + inner hydroxyapatite remineralizing layer. Dissolves after 8 minutes — no removal. No gel ,"""Lower teeth whitening finally figured out"" — a complaint this specific gets thousands of views",92,90,94,82,88,28–40 years old. Coffee drinker (2–4 cups/day). Notices staining in photos and video calls. Wants a 
4,THE HOME YOGA + STRENGTH WOMAN,The Anti-Slip Hot Yoga System (Towel + Spray + Anchor Bands),94.0,4,Grip-locked from minute one. And you can do resistance work on the same towel.,"""a slip-and-slide 20 minutes in"" + ""your mat will eventually meet its match"" + ""towel changed everything""",3-piece system: (1) microfiber hot yoga towel with patented silicone grip nodes PLUS integrated loops at the foot end (resistance band anchor); (2) grip-activating spray: a 60ml natural rubber-enhancing mist applied before class that activates with s,"""Hot yoga without the slip-and-slide — setup tour"" — prep routine content",92,90,95,72,90,28–42 years old. Practices yoga + resistance training at home. Frustrated by mat slipping and band r
5,THE INTENTIONAL DOG PARENT,The Two-Tier Training System: Rep Treats + Jackpot Treats,93.8,4,Every repetition deserves a Rep Treat. Every breakthrough deserves a Jackpot.,"""lose momentum"" + ""too big, too crunchy, too filling"" + ""high-value treats KEY for reactive dogs""","Two-bag system sold together, calibrated for training science: (1) Rep Treats — freeze-dried chicken liver, 1.5 calories each, 500 pieces per bag. Pea-sized. Swallowed in 0.5 seconds. (2) Jackpot Treats — freeze-dried salmon, 5 calories each, 100 pie","""Training 300 sits in a row — here's how we do it without overfeeding"" — viral trainer content",90,95,92,72,88,28–42 years old. Treats dog as family member. Anxious about ingredients. Follows dog training TikTok
6,THE AESTHETIC HOME CHEF,The Clean Kitchen 5-Piece (Zero Black Plastic),90.2,4,Five tools with nothing toxic. Nothing you won't use. Nothing generic.,"""black plastic contains toxic flame retardants"" + ""gathering dust"" + ""5 good tools instead of 33""","5 essential tools in stainless steel + food-grade silicone (non-black) or sustainably-sourced wood: spatula, spoon, tongs, whisk, ladle. Safety certification on-pack: BPA-free, phthalate-free, no black plastic. Materials disclosed on QR code (address","""Replacing all my black plastic kitchen tools after the 2024 study"" — high search volume hook",88,80,92,72,94,28–42 years old. Cooks seriously at home. Has food TikTok or aspires to. Frustrated by generic black
7,THE HOME YOGA + STRENGTH WOMAN,The Glute-Specific Fabric Band System (Width + Grip + Program),89.8,3,Bands that were actually designed for glutes. Not just named for them.,"""roll or slide up during glute bridges"" + ""catch or snag on body hair"" + ""wider profile bands preferred""",3 fabric bands engineered for glute activation: (1) 3-inch width (vs standard 2-inch) — wider profile eliminates rolling; (2) inner silicone grip strip running full circumference — no body hair snagging; (3) graduated resistance levels calibrated spe,"""Why your booty bands keep rolling up (and the fix)"" — educational problem-solution format",90,92,90,70,88,28–42 years old. Practices yoga + resistance training at home. Frustrated by mat slipping and band r
8,THE HOME YOGA + STRENGTH WOMAN,The Studio-at-Home Practice Bundle,87.4,3,Studio-grade equipment. No commute. No excuses.,"""took years to find reliable ones"" + ""tried many that didn't work"" + home practice lacks credibility","Premium 'studio-quality at home' bundle: natural rubber mat base with alignment guide print + microfiber grip towel included + 3 fabric glute bands. Designed with the same aesthetic as studio gear. Materials: natural rubber (not PVC), organic cotton ","""My home yoga + strength setup tour"" — aspirational aesthetic content",85,88,88,68,94,28–42 years old. Practices yoga + resistance training at home. Frustrated by mat slipping and band r
9,THE SELF-IMAGE PROFESSIONAL,The Enamel Trust Kit (Clean Ingredient Whitening),86.5,3,Every ingredient on the label has a reason. Scan the QR. Read the study.,"""gum irritation despite peroxide-free marketing claims"", ""white spots"", ""gel globs together""","Peroxide-free PAP+ (phthalimidoperoxycaproic acid) whitening strips with published third-party lab results on-pack. Ingredient QR code on box. Brand built entirely on: what's in it, what isn't, and proof it works. DTC-first so customer gets transpare","""Dentist explains what's actually in whitening strips"" — educational + trust-building",85,75,90,80,95,28–40 years old. Coffee drinker (2–4 cups/day). Notices staining in photos and video calls. Wants a 
10,THE HOME ENTERTAINER,The No-Spill Cocktail Ice System,86.5,4,"Fill it, lock it, freeze it, impress them. Zero spills. Zero tedious prying.","""leaked out easily"", ""too flimsy to steady"", ""tedious process"", ""warped-looking shapes""","Sphere mold with sealed locking mechanism — clicks shut before carrying, releases ice with one squeeze (no prying). Top fill port with rubber seal. Each sphere cavity has an infusion insert chamber (herbs, citrus, berries). Compatible stackable cube ","""The slow-ice cocktail setup that doesn't leak everywhere"" — demonstration video",82,78,92,65,88,30–45 years old. Hosts cocktail nights and dinner parties. Follows cocktail TikTok. Wants to impress
